name,entropy,grad_energy,psnr
f001000,7.5850993394090676,11.040460534625861,
f001005,7.601880986498921,12.779707784126431,37.358158111572266
f001010,7.603755193140628,11.228663459100625,38.56114959716797
f001015,7.60802727805802,11.140807823961149,38.54696273803711
f001020,7.6156961889489025,12.406640541005556,37.82770538330078
f001025,7.613877914411482,11.238229010306453,38.44565963745117
f001030,7.613595952181502,11.103441007050339,38.18405532836914
f001035,7.621615187810464,13.11306103144818,37.332706451416016
f001040,7.616749099118964,11.29919531736056,38.10343933105469
f001045,7.614782084131928,11.073434309635859,38.142051696777344
f001050,7.616732156237305,12.740848133526624,37.08906936645508
f001055,7.61030299880229,11.214100868268144,37.8110466003418
f001060,7.605981156495545,11.063447914171759,37.71177291870117
f001065,7.609180052163566,12.69323992482023,36.866336822509766
f001070,7.606163796892558,11.142336377812867,37.414344787597656
f001075,7.607418793194559,10.955534359659248,37.5209846496582
f001080,7.610794211731783,12.614847941821337,36.574241638183594
f001085,7.608519367780524,11.02533040712735,37.190406799316406
f001090,7.609483421818177,10.799903338372875,37.27188491821289
f001095,7.61919169036366,12.44685918473647,36.60982131958008
f001100,7.623283702510744,10.860355025630803,37.366783142089844
f001105,7.642969220617571,10.766916502356937,37.29927444458008
f001110,7.667780962145962,12.452645572917406,36.77115249633789
f001115,7.672565367813994,10.908182603593241,37.932491302490234
f001120,7.672708992605525,10.781654223967807,37.88447189331055
f001125,7.6764810761541,12.299365330071725,36.95246505737305
f001130,7.6719466323641345,10.824426934257378,37.35940933227539
f001135,7.662444039889275,10.817493515750408,37.2721061706543
f001140,7.647887902529695,12.673686985273395,36.4393310546875
f001145,7.616605855804297,11.021236169920572,37.134830474853516
f001150,7.578019264973767,11.093431008123781,36.66355514526367
f001155,7.545187232337314,13.391058958989943,35.91253662109375
f001160,7.51140771624179,11.676214134497656,36.21544647216797
f001165,7.490055002126078,11.553018275200499,35.749881744384766
f001170,7.482186915931097,13.599212441717045,35.90953826904297
f001175,7.49205907209684,11.70653438325846,36.73944854736328
f001180,7.4986273185417165,11.408691584338271,36.40350341796875
f001185,7.511276656328357,13.381511222728504,35.26841354370117
f001190,7.507752478991289,11.816051122769908,36.222259521484375
f001195,7.4991789638045985,11.581744155166406,36.427528381347656
f001200,7.4925068420314895,13.543576586989651,36.0432014465332
f001205,7.49251856201372,11.81114899054358,37.125694274902344
f001210,7.50787620627089,11.526270829960984,37.41920852661133
f001215,7.530658711663097,13.327789995935523,36.78704833984375
f001220,7.547551221054723,11.557916363878252,37.70227813720703
f001225,7.572184215797124,11.307361972670355,37.96787643432617
f001230,7.596197669413433,13.069126123576968,36.951820373535156
f001235,7.606128683824442,11.365728754370378,37.87495803833008
f001240,7.614175693289287,11.224863829312007,38.03118896484375
f001245,7.624512559525122,12.898557195834336,36.99998474121094
f001250,7.617017420318258,11.418563527537918,37.76303482055664
f001255,7.609220132550193,11.298534157705065,37.67063522338867
f001260,7.5982197291825155,13.116466249251623,36.670108795166016
f001265,7.579544265655832,11.642348528446451,36.99916076660156
f001270,7.558673795070405,11.549494238527497,36.86079025268555
f001275,7.542390345506094,13.302712004226672,36.42647933959961
