name,split,t_s,sonar_m,pred_m,residual_m,abs_residual_m,psnr_db,render_ms
f001310,test,52.4,1.453,1.3499779042928113,-0.10302209570718879,0.10302209570718879,36.977535247802734,8.510112762451172
f001315,train,52.6,1.458,1.3999293466968308,-0.058070653303169184,0.058070653303169184,37.04643249511719,8.522272109985352
f001320,train,52.8,1.461,1.4352477418748646,-0.025752258125135485,0.025752258125135485,36.53245544433594,7.774829864501953
f001325,train,53.0,1.461,1.427835246914542,-0.03316475308545819,0.03316475308545819,36.91917037963867,9.534835815429688
f001330,train,53.2,1.451,1.4467921712539942,-0.004207828746005893,0.004207828746005893,36.02510070800781,9.03463363647461
f001335,train,53.4,1.459,1.4631132495842378,0.004113249584237755,0.004113249584237755,35.43286895751953,9.130716323852539
f001340,train,53.6,1.455,1.4561978329726464,0.0011978329726463066,0.0011978329726463066,35.49567794799805,8.110523223876953
f001345,train,53.8,1.436,1.4405119190080096,0.004511919008009624,0.004511919008009624,35.47422409057617,8.109807968139648
f001350,test,54.0,1.436,1.447414028010265,0.011414028010265032,0.011414028010265032,35.58755874633789,7.508993148803711
f001355,train,54.2,1.421,1.407148646481615,-0.013851353518385068,0.013851353518385068,36.77427673339844,7.843255996704102
f001360,train,54.4,1.42,1.3442463952318038,-0.07575360476819615,0.07575360476819615,37.52430725097656,7.523536682128906
f001365,train,54.6,1.407,1.326425157929106,-0.08057484207089405,0.08057484207089405,36.370914459228516,7.513999938964844
f001370,train,54.8,1.396,1.3143900691657486,-0.08160993083425128,0.08160993083425128,36.29576873779297,7.475376129150391
f001375,train,55.0,1.396,1.33452620425249,-0.061473795747509996,0.061473795747509996,36.468963623046875,7.696628570556641
f001380,train,55.2,1.385,1.322987880717644,-0.06201211928235595,0.06201211928235595,35.910709381103516,7.518768310546875
f001385,train,55.4,1.37,1.3635097077062064,-0.00649029229379372,0.00649029229379372,36.82326889038086,8.244514465332031
f001390,test,55.6,1.359,1.2373348622667657,-0.12166513773323429,0.12166513773323429,36.567386627197266,8.504867553710938
f001395,train,55.8,1.345,1.3141995355120775,-0.030800464487922508,0.030800464487922508,35.77234649658203,8.521318435668945
f001400,train,56.0,1.345,1.3212315894054973,-0.02376841059450263,0.02376841059450263,36.58894729614258,8.515357971191406
f001405,train,56.2,1.331,1.3494020762088321,0.018402076208832163,0.018402076208832163,36.90924835205078,8.699178695678711
f001410,train,56.4,1.313,1.3770347790348785,0.06403477903487853,0.06403477903487853,36.421592712402344,8.507490158081055
f001415,train,56.6,1.302,1.3598729729148125,0.057872972914812415,0.057872972914812415,37.08094024658203,8.510828018188477
f001420,train,56.8,1.297,1.3110035957099284,0.014003595709928485,0.014003595709928485,37.17253112792969,8.507251739501953
f001425,train,57.0,1.297,1.2912367859222915,-0.005763214077708412,0.005763214077708412,36.184261322021484,8.512735366821289
f001430,test,57.2,1.288,1.2725471879703851,-0.015452812029614904,0.015452812029614904,36.975303649902344,8.509159088134766
f001435,train,57.4,1.28,1.322339252182591,0.042339252182590936,0.042339252182590936,37.22023391723633,9.042739868164062
f001440,train,57.6,1.316,1.3407505645392628,0.02475056453926272,0.02475056453926272,36.311790466308594,9.15074348449707
f001445,train,57.8,1.395,1.3875449723284279,-0.007455027671572134,0.007455027671572134,37.03841781616211,9.29570198059082
f001450,train,58.0,1.395,1.3933793413815978,-0.0016206586184022154,0.0016206586184022154,37.10744857788086,8.304595947265625
f001455,train,58.2,1.433,1.439739451426076,0.006739451426075904,0.006739451426075904,36.46881103515625,8.512735366821289
f001460,train,58.4,1.454,1.4929858579017161,0.03898585790171616,0.03898585790171616,37.342323303222656,8.011341094970703
f001465,train,58.6,1.498,1.5283188131699648,0.030318813169964764,0.030318813169964764,37.42747497558594,8.01992416381836
f001470,test,58.8,1.533,1.4662958034969957,-0.06670419650300419,0.06670419650300419,36.48432922363281,8.511066436767578
f001475,train,59.0,1.533,1.511926969670075,-0.021073030329924913,0.021073030329924913,37.47539138793945,8.530139923095703
f001480,train,59.2,1.582,1.540804325369322,-0.04119567463067808,0.04119567463067808,37.70335388183594,8.509159088134766
f001485,train,59.4,1.568,1.523241099127635,-0.044758900872365004,0.044758900872365004,36.55582809448242,8.041620254516602
f001490,train,59.6,1.575,1.5294980239172538,-0.0455019760827462,0.0455019760827462,36.88644790649414,8.502483367919922
f001495,train,59.8,1.604,1.5753468086430058,-0.02865319135699429,0.02865319135699429,36.410552978515625,8.51583480834961
